Rank,Artist,Song,Year
4,Maroon 5 feat. Wiz Khalifa,Payphone,2012
5,Ellie Goulding,Lights,2012
6,The Wanted,Glad You Came,2012
7,Kelly Clarkson,Stronger (What Doesn’t Kill You),2012
8,Rihanna feat. Calvin Harris,We Found Love,2012
9,Nicki Minaj,Starships,2012
10,One Direction,What Makes You Beautiful,2012
1,Macklemore and Ryan Lewis feat. Wanz,Thrift Shop,2013
2,Robin Thicke feat. T.I. and Pharrell,Blurred Lines,2013
3,Imagine Dragons,Radioactive,2013
4,Baauer,Harlem Shake,2013
5,Macklemore and Ryan Lewis feat. Ray Dalton,Can't Hold Us,2013
6,Justin Timberlake,Mirrors,2013
7,P!nk feat. Nate Ruess,Just Give Me A Reason,2013
8,Bruno Mars,When I Was Your Man,2013
9,Florida Georgia Line feat. Nelly,Cruise,2013
10,Katy Perry,Roar,2013
1,Pharrell Williams,Happy,2014
2,Katy Perry feat. Juicy J,Dark Horse,2014
3,John Legend,All Of Me,2014
4,Iggy Azalea feat. Charli XCX,Fancy,2014
5,OneRepublic,Counting Stars,2014
6,Jason Derulo feat. 2 Chainz,Talk Dirty,2014
7,MAGIC!,Rude,2014
8,Meghan Trainor,All About That Bass,2014
9,Ariana Grande feat. Iggy Azalea,Problem,2014
10,Sam Smith,Stay With Me,2014
1,Mark Ronson feat. Bruno Mars,Uptown Funk!,2015
2,Ed Sheeran,Thinking Out Loud,2015
3,Wiz Khalifa feat. Charlie Puth,See You Again,2015
4,Fetty Wap,Trap Queen,2015
5,Maroon 5,Sugar,2015
6,Walk The Moon,Shut Up and Dance,2015
7,Taylor Swift,Blank Space,2015
8,Silento,Watch Me,2015
9,Weeknd,Earned It (Fifty Shades Of Grey),2015
10,Weeknd,The Hills,2015
1,Justin Bieber,Love Yourself,2016
2,Justin Bieber,Sorry,2016
3,Drake feat. WizKid and Kyla,One Dance,2016
4,Rihanna feat. Drake,Work,2016
5,twenty one pilots,Stressed Out,2016
6,Desiigner,Panda,2016
7,Adele,Hello,2016
8,Chainsmokers feat. Daya,Don't Let Me Down,2016
9,Justin Timberlake,Can't Stop The Feeling!,2016
10,Chainsmokers feat. Halsey,Closer,2016
